Sigla|Estado|População|PIB (R$)
AC|Acre|732793|8477000
AL|Alagoas|3120922|24575000
AP|Amapá|668689|8266000
AM|Amazonas|3480937|59779000
BA|Bahia|14021432|154340000
CE|Ceara|8448055|77865000
DF|Distrito Federal|2562963|149906000
ES|Espírito Santo|3512672|82122000
GO|Goiás|6004045|97576000
MA|Maranhão|6569683|45256000
MT|Mato Grosso|3033991|59600000
MS|Mato Grosso do Sul|2449341|43514000
MG|Minas Gerais|19595309|351381000
PA|Pará|7588078|77848000
PB|Paraíba|3766834|31947000
PR|Paraná|10439601|217290000
PE|Pernambuco|8796032|95187000
PI|Piauí|3119015|22060000
RJ|Rio de Janeiro|15993583|407123000
RN|Rio Grande do Norte|3168133|32339000
RS|Rio Grande do Sul|10695532|252483000
RO|Rondônia|1560501|23561000
RR|Roraima|451227|6341000
SC|Santa Catarina|6249682|152482000
SP|São Paulo|41252160|1247596000
SE|Sergipe|2068031|23932000
TO|Tocantins|1383453|17240000