date|hour|users
20180217|00|0
20180217|01|0
20180217|02|0
20180217|03|0
20180217|04|0
20180217|05|0
20180217|06|0
20180217|07|0
20180217|08|0
20180217|09|1
20180217|10|0
20180217|11|0
20180217|12|0
20180217|13|2
20180217|14|1
20180217|15|0
20180217|16|0
20180217|17|1
20180217|18|1
20180217|19|0
20180217|20|0
20180217|21|0
20180217|22|0
20180217|23|5
20180218|00|1
20180218|01|0
20180218|02|0
20180218|03|0
20180218|04|1
20180218|05|0
20180218|06|0
20180218|07|0
20180218|08|1
20180218|09|1
20180218|10|1
20180218|11|0
20180218|12|0
20180218|13|0
20180218|14|1
20180218|15|2
20180218|16|0
20180218|17|0
20180218|18|1
20180218|19|2
20180218|20|1
20180218|21|1
20180218|22|2
20180218|23|2
20180219|00|1
20180219|01|0
20180219|02|0
20180219|03|0
20180219|04|0
20180219|05|1
20180219|06|0
20180219|07|0
20180219|08|1
20180219|09|3
20180219|10|4
20180219|11|2
20180219|12|3
20180219|13|2
20180219|14|5
20180219|15|5
20180219|16|5
20180219|17|0
20180219|18|0
20180219|19|2
20180219|20|2
20180219|21|1
20180219|22|0
20180219|23|1
20180220|00|1
20180220|01|0
20180220|02|0
20180220|03|0
20180220|04|0
20180220|05|0
20180220|06|0
20180220|07|1
20180220|08|3
20180220|09|3
20180220|10|5
20180220|11|5
20180220|12|15
20180220|13|6
20180220|14|5
20180220|15|9
20180220|16|5
20180220|17|1
20180220|18|1
20180220|19|3
20180220|20|6
20180220|21|5
20180220|22|2
20180220|23|1
20180221|00|1
20180221|01|1
20180221|02|1
20180221|03|0
20180221|04|0
20180221|05|0
20180221|06|1
20180221|07|0
20180221|08|2
20180221|09|3
20180221|10|5
20180221|11|2
20180221|12|2
20180221|13|3
20180221|14|4
20180221|15|6
20180221|16|2
20180221|17|2
20180221|18|2
20180221|19|17
20180221|20|0
20180221|21|8
20180221|22|1
20180221|23|2
20180222|00|1
20180222|01|0
20180222|02|0
20180222|03|0
20180222|04|0
20180222|05|0
20180222|06|1
20180222|07|2
20180222|08|4
20180222|09|3
20180222|10|2
20180222|11|2
20180222|12|1
20180222|13|1
20180222|14|4
20180222|15|0
20180222|16|3
20180222|17|0
20180222|18|1
20180222|19|4
20180222|20|4
20180222|21|7
20180222|22|4
20180222|23|0
20180223|00|1
20180223|01|0
20180223|02|0
20180223|03|0
20180223|04|0
20180223|05|0
20180223|06|0
20180223|07|1
20180223|08|1
20180223|09|3
20180223|10|1
20180223|11|4
20180223|12|4
20180223|13|2
20180223|14|5
20180223|15|1
20180223|16|5
20180223|17|3
20180223|18|1
20180223|19|0
20180223|20|3
20180223|21|0
20180223|22|1
20180223|23|0
20180224|00|0
20180224|01|0
20180224|02|0
20180224|03|1
20180224|04|0
20180224|05|0
20180224|06|1
20180224|07|0
20180224|08|3
20180224|09|0
20180224|10|3
20180224|11|2
20180224|12|0
20180224|13|1
20180224|14|1
20180224|15|2
20180224|16|2
20180224|17|1
20180224|18|1
20180224|19|0
20180224|20|0
20180224|21|1
20180224|22|1
20180224|23|1
20180225|00|1
20180225|01|0
20180225|02|1
20180225|03|0
20180225|04|0
20180225|05|0
20180225|06|0
20180225|07|0
20180225|08|2
20180225|09|1
20180225|10|3
20180225|11|0
20180225|12|1
20180225|13|1
20180225|14|0
20180225|15|0
20180225|16|5
20180225|17|0
20180225|18|2
20180225|19|1
20180225|20|1
20180225|21|1
20180225|22|0
20180225|23|0
20180226|00|3
20180226|01|1
20180226|02|0
20180226|03|2
20180226|04|0
20180226|05|0
20180226|06|0
20180226|07|0
20180226|08|1
20180226|09|5
20180226|10|3
20180226|11|4
20180226|12|0
20180226|13|3
20180226|14|2
20180226|15|4
20180226|16|2
20180226|17|3
20180226|18|3
20180226|19|4
20180226|20|1
20180226|21|1
20180226|22|0
20180226|23|2
20180227|00|1
20180227|01|0
20180227|02|0
20180227|03|0
20180227|04|0
20180227|05|0
20180227|06|0
20180227|07|1
20180227|08|0
20180227|09|2
20180227|10|3
20180227|11|3
20180227|12|1
20180227|13|3
20180227|14|3
20180227|15|2
20180227|16|4
20180227|17|1
20180227|18|0
20180227|19|0
20180227|20|1
20180227|21|0
20180227|22|1
20180227|23|3
20180228|00|1
20180228|01|0
20180228|02|0
20180228|03|1
20180228|04|0
20180228|05|0
20180228|06|0
20180228|07|0
20180228|08|2
20180228|09|2
20180228|10|2
20180228|11|2
20180228|12|4
20180228|13|2
20180228|14|2
20180228|15|1
20180228|16|5
20180228|17|2
20180228|18|0
20180228|19|2
20180228|20|2
20180228|21|1
20180228|22|2
20180228|23|2
20180301|00|2
20180301|01|0
20180301|02|1
20180301|03|0
20180301|04|0
20180301|05|0
20180301|06|1
20180301|07|0
20180301|08|1
20180301|09|2
20180301|10|8
20180301|11|6
20180301|12|1
20180301|13|2
20180301|14|1
20180301|15|1
20180301|16|1
20180301|17|0
20180301|18|4
20180301|19|1
20180301|20|1
20180301|21|2
20180301|22|1
20180301|23|0
20180302|00|1
20180302|01|0
20180302|02|1
20180302|03|0
20180302|04|0
20180302|05|0
20180302|06|0
20180302|07|0
20180302|08|1
20180302|09|4
20180302|10|1
20180302|11|2
20180302|12|0
20180302|13|1
20180302|14|5
20180302|15|2
20180302|16|3
20180302|17|1
20180302|18|3
20180302|19|3
20180302|20|3
20180302|21|0
20180302|22|1
20180302|23|0
20180303|00|3
20180303|01|0
20180303|02|0
20180303|03|0
20180303|04|0
20180303|05|0
20180303|06|0
20180303|07|0
20180303|08|0
20180303|09|1
20180303|10|0
20180303|11|0
20180303|12|1
20180303|13|1
20180303|14|1
20180303|15|1
20180303|16|3
20180303|17|2
20180303|18|0
20180303|19|0
20180303|20|0
20180303|21|1
20180303|22|1
20180303|23|0
20180304|00|0
20180304|01|0
20180304|02|0
20180304|03|0
20180304|04|0
20180304|05|0
20180304|06|0
20180304|07|1
20180304|08|0
20180304|09|0
20180304|10|0
20180304|11|0
20180304|12|0
20180304|13|2
20180304|14|0
20180304|15|0
20180304|16|3
20180304|17|1
20180304|18|2
20180304|19|2
20180304|20|0
20180304|21|1
20180304|22|1
20180304|23|2
20180305|00|1
20180305|01|2
20180305|02|0
20180305|03|0
20180305|04|0
20180305|05|0
20180305|06|0
20180305|07|0
20180305|08|1
20180305|09|3
20180305|10|6
20180305|11|2
20180305|12|1
20180305|13|1
20180305|14|3
20180305|15|4
20180305|16|3
20180305|17|1
20180305|18|2
20180305|19|4
20180305|20|0
20180305|21|0
20180305|22|1
20180305|23|0
20180306|00|2
20180306|01|0
20180306|02|0
20180306|03|0
20180306|04|0
20180306|05|0
20180306|06|1
20180306|07|0
20180306|08|1
20180306|09|0
20180306|10|2
20180306|11|3
20180306|12|0
20180306|13|0
20180306|14|2
20180306|15|2
20180306|16|3
20180306|17|1
20180306|18|0
20180306|19|2
20180306|20|0
20180306|21|1
20180306|22|4
20180306|23|2
20180307|00|0
20180307|01|1
20180307|02|1
20180307|03|0
20180307|04|0
20180307|05|0
20180307|06|0
20180307|07|0
20180307|08|1
20180307|09|0
20180307|10|0
20180307|11|3
20180307|12|3
20180307|13|3
20180307|14|4
20180307|15|1
20180307|16|1
20180307|17|2
20180307|18|1
20180307|19|0
20180307|20|1
20180307|21|2
20180307|22|1
20180307|23|1
20180308|00|0
20180308|01|2
20180308|02|0
20180308|03|0
20180308|04|0
20180308|05|0
20180308|06|1
20180308|07|0
20180308|08|3
20180308|09|4
20180308|10|1
20180308|11|4
20180308|12|2
20180308|13|1
20180308|14|4
20180308|15|4
20180308|16|2
20180308|17|1
20180308|18|3
20180308|19|1
20180308|20|2
20180308|21|1
20180308|22|2
20180308|23|1
20180309|00|1
20180309|01|0
20180309|02|0
20180309|03|0
20180309|04|0
20180309|05|1
20180309|06|0
20180309|07|0
20180309|08|0
20180309|09|3
20180309|10|4
20180309|11|0
20180309|12|0
20180309|13|1
20180309|14|3
20180309|15|3
20180309|16|2
20180309|17|4
20180309|18|3
20180309|19|4
20180309|20|1
20180309|21|1
20180309|22|2
20180309|23|3
20180310|00|1
20180310|01|0
20180310|02|1
20180310|03|0
20180310|04|0
20180310|05|0
20180310|06|0
20180310|07|0
20180310|08|0
20180310|09|0
20180310|10|0
20180310|11|1
20180310|12|0
20180310|13|2
20180310|14|0
20180310|15|1
20180310|16|2
20180310|17|3
20180310|18|0
20180310|19|0
20180310|20|0
20180310|21|1
20180310|22|3
20180310|23|3
20180311|00|0
20180311|01|0
20180311|02|0
20180311|03|0
20180311|04|0
20180311|05|0
20180311|06|0
20180311|07|0
20180311|08|0
20180311|09|0
20180311|10|0
20180311|11|3
20180311|12|0
20180311|13|1
20180311|14|1
20180311|15|2
20180311|16|0
20180311|17|0
20180311|18|1
20180311|19|1
20180311|20|0
20180311|21|4
20180311|22|1
20180311|23|2
20180312|00|0
20180312|01|1
20180312|02|0
20180312|03|0
20180312|04|1
20180312|05|0
20180312|06|0
20180312|07|0
20180312|08|1
20180312|09|2
20180312|10|5
20180312|11|4
20180312|12|3
20180312|13|4
20180312|14|0
20180312|15|2
20180312|16|2
20180312|17|0
20180312|18|1
20180312|19|1
20180312|20|3
20180312|21|4
20180312|22|2
20180312|23|1
20180313|00|3
20180313|01|1
20180313|02|0
20180313|03|1
20180313|04|1
20180313|05|0
20180313|06|0
20180313|07|1
20180313|08|3
20180313|09|7
20180313|10|3
20180313|11|3
20180313|12|2
20180313|13|1
20180313|14|5
20180313|15|3
20180313|16|1
20180313|17|1
20180313|18|0
20180313|19|3
20180313|20|0
20180313|21|4
20180313|22|2
20180313|23|2
20180314|00|0
20180314|01|1
20180314|02|0
20180314|03|0
20180314|04|0
20180314|05|1
20180314|06|0
20180314|07|1
20180314|08|0
20180314|09|4
20180314|10|1
20180314|11|3
20180314|12|3
20180314|13|5
20180314|14|3
20180314|15|4
20180314|16|4
20180314|17|4
20180314|18|2
20180314|19|4
20180314|20|4
20180314|21|3
20180314|22|2
20180314|23|2
20180315|00|1
20180315|01|0
20180315|02|0
20180315|03|0
20180315|04|0
20180315|05|0
20180315|06|0
20180315|07|2
20180315|08|2
20180315|09|2
20180315|10|2
20180315|11|5
20180315|12|3
20180315|13|0
20180315|14|4
20180315|15|5
20180315|16|4
20180315|17|0
20180315|18|0
20180315|19|2
20180315|20|3
20180315|21|3
20180315|22|2
20180315|23|2
20180316|00|2
20180316|01|1
20180316|02|0
20180316|03|0
20180316|04|0
20180316|05|1
20180316|06|0
20180316|07|0
20180316|08|1
20180316|09|1
20180316|10|2
20180316|11|1
20180316|12|0
20180316|13|1
20180316|14|1
20180316|15|2
20180316|16|2
20180316|17|2
20180316|18|0
20180316|19|0
20180316|20|0
20180316|21|2
20180316|22|3
20180316|23|1
20180317|00|2
20180317|01|0
20180317|02|0
20180317|03|0
20180317|04|0
20180317|05|0
20180317|06|0
20180317|07|0
20180317|08|1
20180317|09|1
20180317|10|0
20180317|11|1
20180317|12|0
20180317|13|2
20180317|14|0
20180317|15|2
20180317|16|1
20180317|17|1
20180317|18|1
20180317|19|1
20180317|20|1
20180317|21|2
20180317|22|1
20180317|23|2
20180318|00|0
20180318|01|1
20180318|02|0
20180318|03|0
20180318|04|0
20180318|05|0
20180318|06|0
20180318|07|0
20180318|08|1
20180318|09|0
20180318|10|0
20180318|11|4
20180318|12|1
20180318|13|0
20180318|14|1
20180318|15|1
20180318|16|2
20180318|17|3
20180318|18|1
20180318|19|2
20180318|20|0
20180318|21|3
20180318|22|1
20180318|23|1